
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:29:33 2026
Timers Off: Mon Aug 10 18:29:37 2026

Wall Time:        4.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.400u      0.000s      0.072w      1 calls
build grid                          :      0.350u      0.000s      0.037w      1 calls
post-process grid                   :      0.050u      0.000s      0.035w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.013w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.018w     10 calls
DFH: initialize()                   :      2.700u      0.150s      0.531w      1 calls
DFH: AO Construction                :      0.467u      0.017s      0.044w      1 calls
DFH: AO-Met. Contraction            :      1.317u      0.033s      0.119w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      1 calls
HF: Guess                           :      0.050u      0.067s      0.044w      1 calls
SAD Guess                           :      0.050u      0.067s      0.043w      1 calls
HF: Form G                          :     28.000u      0.250s      2.541w     11 calls
RV: Form V                          :     21.267u      0.083s      1.858w     11 calls
Properties                          :      5.733p                          22660 calls
Functional                          :      1.708p                          22660 calls
V_xc                                :      7.051p                          22660 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.167u      0.067s      0.023w     11 calls
JK: JK                              :      6.533u      0.033s      0.643w     11 calls
DFH: compute_JK()                   :      6.533u      0.033s      0.643w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.450u      0.000s      0.039w     11 calls
DFH: compute_K                      :      6.067u      0.000s      0.554w     11 calls
JK: AO2USO                          :      0.017u      0.017s      0.009w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.667u      0.133s      0.466w     10 calls
HF: Form C                          :      0.033u      0.000s      0.025w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.400u      0.000s      0.072w      1 calls
| build grid                        :      0.350u      0.000s      0.037w      1 calls
| post-process grid                 :      0.050u      0.000s      0.035w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.013w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.008w      1 calls
DFH: initialize()                   :      2.700u      0.150s      0.531w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.009w      9 calls
| DFH: AO Construction              :      0.467u      0.017s      0.044w      1 calls
| DFH: AO-Met. Contraction          :      1.317u      0.033s      0.119w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      1 calls
HF: Guess                           :      0.050u      0.067s      0.044w      1 calls
| SAD Guess                         :      0.050u      0.067s      0.043w      1 calls
HF: Form G                          :     28.000u      0.250s      2.541w     11 calls
| RV: Form V                        :     21.267u      0.083s      1.858w     11 calls
| | Properties                      :      5.733p                          22660 calls
| | Functional                      :      1.708p                          22660 calls
| | V_xc                            :      7.051p                          22660 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.167u      0.067s      0.023w     11 calls
| JK: JK                            :      6.533u      0.033s      0.643w     11 calls
| | DFH: compute_JK()               :      6.533u      0.033s      0.643w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.450u      0.000s      0.039w     11 calls
| | | DFH: compute_K                :      6.067u      0.000s      0.554w     11 calls
| JK: AO2USO                        :      0.017u      0.017s      0.009w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.667u      0.133s      0.466w     10 calls
HF: Form C                          :      0.033u      0.000s      0.025w     10 calls

**************************************************************************************
