
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 01:30:08 2026
Timers Off: Sun Aug  9 01:30:18 2026

Wall Time:        9.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.233u      0.000s      0.136w      1 calls
build grid                          :      0.167u      0.000s      0.103w      1 calls
post-process grid                   :      0.067u      0.000s      0.033w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.014w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.018w      3 calls
DFH: initialize()                   :      0.367u      0.000s      0.229w      1 calls
DFH: AO Construction                :      0.150u      0.000s      0.090w      1 calls
DFH: AO-Met. Contraction            :      0.133u      0.000s      0.089w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.017s      0.023w      1 calls
SAD Guess                           :      0.033u      0.017s      0.021w      1 calls
HF: Form G                          :      8.550u      0.133s      5.216w      8 calls
RV: Form V                          :      8.300u      0.133s      5.070w      8 calls
Properties                          :      3.317u      0.017s      2.134w  12024 calls
Functional                          :      0.683u      0.017s      0.471w  12024 calls
V_xc                                :      4.267u      0.083s      2.435w  12024 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w      8 calls
JK: JK                              :      0.233u      0.000s      0.137w      8 calls
DFH: compute_JK()                   :      0.233u      0.000s      0.137w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.050u      0.000s      0.020w      8 calls
DFH: compute_K                      :      0.183u      0.000s      0.113w      8 calls
JK: AO2USO                          :      0.017u      0.000s      0.004w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.550u      0.083s      1.811w      7 calls
HF: Form C                          :      0.000u      0.000s      0.005w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.233u      0.000s      0.136w      1 calls
| build grid                        :      0.167u      0.000s      0.103w      1 calls
| post-process grid                 :      0.067u      0.000s      0.033w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.014w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.009w      1 calls
DFH: initialize()                   :      0.367u      0.000s      0.229w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.009w      2 calls
| DFH: AO Construction              :      0.150u      0.000s      0.090w      1 calls
| DFH: AO-Met. Contraction          :      0.133u      0.000s      0.089w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.017s      0.023w      1 calls
| SAD Guess                         :      0.033u      0.017s      0.021w      1 calls
HF: Form G                          :      8.550u      0.133s      5.216w      8 calls
| RV: Form V                        :      8.300u      0.133s      5.070w      8 calls
| | Properties                      :      3.317u      0.017s      2.134w  12024 calls
| | Functional                      :      0.683u      0.017s      0.471w  12024 calls
| | V_xc                            :      4.267u      0.083s      2.435w  12024 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w      8 calls
| JK: JK                            :      0.233u      0.000s      0.137w      8 calls
| | DFH: compute_JK()               :      0.233u      0.000s      0.137w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.020w      8 calls
| | | DFH: compute_K                :      0.183u      0.000s      0.113w      8 calls
| JK: AO2USO                        :      0.017u      0.000s      0.004w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.550u      0.083s      1.811w      7 calls
HF: Form C                          :      0.000u      0.000s      0.005w      7 calls

**************************************************************************************
